Name of Student,No. of DSA questions,CGPA,Knows ML,Knows DSA,Knows Python,Knows JavaScript,Knows CSS,Was in Coding Club,Age of Candidate,Branch of Engineering,Placement Package
Amy Coleman,155,5.23,No,No,No,Yes,No,No,24,Electrical Engineering,14.16
Catherine Adams,255,3.69,Yes,No,Yes,Yes,No,Yes,25,Mechanical Engineering,9.14
Joseph Vargas,400,3.35,No,No,No,No,Yes,Yes,21,Civil Engineering,3.84
Mr. Keith Weber DDS,1,1.42,No,Yes,No,Yes,Yes,No,24,Civil Engineering,5.27
Wanda Myers,132,9.03,No,Yes,Yes,No,Yes,No,24,Computer Science,48.66
Katherine Wolf,488,9.47,No,Yes,No,Yes,No,Yes,23,Mechanical Engineering,35.51
Margaret Ramos,221,7.32,Yes,No,Yes,Yes,Yes,Yes,24,Computer Science,25.38
Jessica Huang,164,3.94,No,No,Yes,No,Yes,Yes,24,Civil Engineering,2.58
Carrie Thompson,111,0,,No,No,Yes,No,No,20,Computer Science,4.02
Dustin Myers MD,176,4.77,Yes,Yes,Yes,No,Yes,Yes,19,Computer Science,11.24
Brianna Murray,381,6.79,Yes,No,No,Yes,No,Yes,25,Mechanical Engineering,50.27
Megan Oneill,77,6.96,No,Yes,No,Yes,Yes,No,22,Electrical Engineering,22.29
Shelby Green,206,7.58,Yes,Yes,Yes,No,,No,23,Civil Engineering,45.99
Corey Wilson,27,6.01,No,No,Yes,No,No,No,22,Electrical Engineering,24.47
Jamie Jacobs,359,9.57,Yes,No,Yes,Yes,No,No,21,Computer Science,26.59
Jacqueline Thomas,12,1.38,Yes,Yes,Yes,No,No,No,19,Computer Science,12.7
Rebecca Cox,247,3.25,No,No,No,Yes,Yes,Yes,18,Civil Engineering,2.66
Dwayne Perez,327,3.22,No,No,No,Yes,No,Yes,18,Civil Engineering,4.06
Shawn King,263,0.65,No,Yes,Yes,Yes,Yes,No,20,Electrical Engineering,6.7
Brandon Thomas,29,5.8,Yes,No,Yes,Yes,No,Yes,19,Electrical Engineering,39.32
Laura Levine,39,7.27,No,Yes,Yes,No,No,No,24,Mechanical Engineering,43.52
Crystal Davis,288,6.27,No,Yes,No,No,No,Yes,20,Electrical Engineering,44.89
Dr. Barry Davis,287,2.01,No,No,No,Yes,Yes,Yes,21,Mechanical Engineering,4.39
Terry Green,313,9.29,No,No,No,Yes,No,Yes,24,Computer Science,16.79
Sarah Morris,225,6.74,No,Yes,Yes,Yes,Yes,Yes,20,Computer Science,30.88
Brenda Yang,416,2.28,Yes,No,No,Yes,Yes,No,25,Civil Engineering,9.48
Mary Wilson,465,1.82,No,No,No,Yes,No,Yes,20,Civil Engineering,2.6
Lisa Wright,434,3.6,No,Yes,No,No,Yes,Yes,24,Electrical Engineering,4.63
Maureen Sims,6,3.72,No,Yes,Yes,Yes,Yes,Yes,21,Computer Science,6.49
Michael Pittman,241,1.16,Yes,Yes,Yes,,No,Yes,24,Civil Engineering,12.12
Jamie Hill,180,1.28,Yes,Yes,Yes,No,Yes,No,24,Computer Science,12.51
Connie Morrison,101,5.58,Yes,No,Yes,Yes,No,Yes,21,Mechanical Engineering,18.49
Sarah Bailey,348,6.88,Yes,No,Yes,No,Yes,No,18,Civil Engineering,33.22
Alex Miller,107,8.4,No,Yes,No,Yes,Yes,No,18,Civil Engineering,12.83
Eddie Briggs,59,7.17,Yes,Yes,No,Yes,No,No,19,Computer Science,18.91
Barbara Joseph,132,3.8,Yes,No,Yes,Yes,Yes,Yes,19,Mechanical Engineering,10.72
Nicole Scott,6,1.23,Yes,Yes,No,No,Yes,No,18,Civil Engineering,11.28
Daniel Jones,65,0.8,No,Yes,Yes,Yes,Yes,No,21,Electrical Engineering,5.58
Michael Ramirez,304,3.75,Yes,No,Yes,Yes,No,Yes,22,Electrical Engineering,9.2
Katelyn Perkins,236,6.71,Yes,No,Yes,No,Yes,Yes,25,Civil Engineering,39.98
Nicole Jennings,218,9.85,No,No,No,Yes,Yes,No,18,Civil Engineering,11.76
Leah Robinson,210,4.47,No,No,No,Yes,No,Yes,24,Mechanical Engineering,4.28
Jessica Young,452,6.11,No,Yes,No,Yes,No,Yes,24,Computer Science,44.9
Jeffrey Gutierrez,61,8.43,Yes,No,No,Yes,Yes,Yes,21,Computer Science,36.18
Dennis Kelly,0,7.61,Yes,Yes,No,No,Yes,No,23,Electrical Engineering,49.46
Todd Mcgee,448,9.78,No,Yes,Yes,No,Yes,Yes,24,Electrical Engineering,8.41
Meghan Roberts,127,3.18,No,Yes,Yes,No,No,Yes,22,Computer Science,4.69
Robin Ruiz,174,7.25,Yes,Yes,No,No,No,Yes,25,Mechanical Engineering,29.75
Philip Hudson,462,6.62,No,Yes,No,Yes,No,No,23,Computer Science,43.5
Anne Morrow,252,9.41,No,Yes,No,No,No,Yes,25,Electrical Engineering,38.48
Lisa Hernandez,178,7.47,Yes,Yes,No,No,Yes,No,25,Electrical Engineering,41.86
Jeremy Snyder,260,9.06,No,No,No,Yes,Yes,No,25,Mechanical Engineering,25.73
Kevin Hall,0,3.08,Yes,Yes,Yes,No,Yes,No,24,Computer Science,12.85
Kayla West,40,8.83,Yes,No,No,Yes,Yes,Yes,22,Electrical Engineering,26.42
Alexander Williams,175,8.55,No,No,No,No,Yes,Yes,20,Mechanical Engineering,40.01
Haley Dean,356,5.78,Yes,Yes,Yes,Yes,No,No,22,Mechanical Engineering,54.92
Steven Alexander,353,7.77,No,No,Yes,Yes,Yes,Yes,20,Electrical Engineering,14.18
Joel Cook,130,7.12,No,Yes,Yes,Yes,Yes,No,22,Civil Engineering,15.62
Amanda Alexander,179,3.12,Yes,Yes,Yes,No,No,Yes,25,Civil Engineering,10.67
Troy Hartman,238,4.47,Yes,No,Yes,Yes,No,Yes,22,Civil Engineering,8.98
Ariel Watkins,278,9.93,Yes,Yes,Yes,Yes,Yes,No,21,Mechanical Engineering,33.49
Willie Ellison,322,0.94,Yes,No,No,Yes,No,Yes,21,Computer Science,10.62
Eric Roberts,128,3.54,Yes,Yes,No,Yes,Yes,Yes,18,Mechanical Engineering,12.55
Jacqueline Barber,288,8.01,Yes,Yes,No,Yes,Yes,Yes,24,Civil Engineering,35.8
Teresa Powell,490,2.35,Yes,No,Yes,No,No,No,23,Civil Engineering,10.88
Edward Jacobs,130,3.27,Yes,No,Yes,Yes,Yes,No,25,Computer Science,8.82
Tony Russell,414,6.79,Yes,Yes,No,Yes,No,Yes,21,Computer Science,38.52
Jennifer Villanueva,259,0.16,No,No,No,No,Yes,No,24,Electrical Engineering,3.95
Christopher Hayes,492,2.38,Yes,Yes,,No,Yes,No,18,Civil Engineering,11.09
David Brown,31,8.21,Yes,Yes,No,No,,Yes,20,Civil Engineering,41.29
Laurie Wilkinson,401,4.48,No,No,,Yes,Yes,Yes,24,Electrical Engineering,3.4
Michael Gray,201,1.2,Yes,Yes,Yes,No,No,Yes,18,Civil Engineering,11.89
Chelsea Monroe,85,3.45,Yes,No,Yes,Yes,Yes,No,25,Electrical Engineering,10
Brian Adams,297,3.33,No,No,No,Yes,Yes,No,25,Mechanical Engineering,3.6
Karen Williams,470,7.41,Yes,No,Yes,Yes,No,No,19,Electrical Engineering,54.77
Jason Quinn,447,2.02,Yes,Yes,No,Yes,Yes,Yes,22,Electrical Engineering,12.05
Harry Powers,450,0.04,Yes,Yes,No,No,Yes,Yes,24,Electrical Engineering,12.3
John Hamilton,74,4.21,No,No,Yes,Yes,Yes,Yes,23,Computer Science,3.96
Patricia Boyer,465,7.72,No,No,Yes,Yes,Yes,Yes,21,Civil Engineering,45.92
Dave Perez,363,7.24,Yes,No,Yes,No,Yes,No,20,Mechanical Engineering,36.12
Kevin Nelson,324,1.64,Yes,Yes,Yes,No,Yes,Yes,24,Computer Science,10.72
Melissa Richards,99,5.69,Yes,No,No,Yes,No,No,23,Electrical Engineering,30.21
Eric Woodward,338,1.08,Yes,Yes,No,Yes,Yes,Yes,22,Electrical Engineering,11.76
Sarah Hopkins,372,2.73,No,Yes,Yes,No,Yes,No,21,Computer Science,5.23
Laura Brown,101,6.81,No,Yes,No,Yes,No,No,19,Computer Science,33.8
Emily Johnson,118,4.49,Yes,Yes,No,Yes,Yes,Yes,22,Mechanical Engineering,12.74
Aaron Summers,456,7.43,No,No,Yes,No,No,No,20,Mechanical Engineering,8.38
Mrs. Beth Osborne MD,160,0.07,No,No,No,No,Yes,Yes,20,Electrical Engineering,2.77
Michael Lynch,406,8.25,No,Yes,No,Yes,No,No,21,Civil Engineering,33.32
Elizabeth Smith,178,8.79,Yes,No,Yes,,No,No,18,Mechanical Engineering,55.11
Mrs. Susan Green,325,3.65,Yes,No,Yes,No,No,No,25,Electrical Engineering,9.99
Ariel Shannon,161,2.08,Yes,No,No,Yes,No,Yes,21,Mechanical Engineering,10.16
William Eaton,28,0.03,Yes,No,No,No,No,Yes,19,Mechanical Engineering,10.91
Michael Simmons,425,9.04,No,Yes,No,No,Yes,No,18,Mechanical Engineering,30.56
Tiffany Strong,308,1.73,No,Yes,No,No,No,Yes,20,Electrical Engineering,6.56
Kendra Romero MD,403,3.32,Yes,Yes,Yes,No,Yes,Yes,18,Computer Science,11.15
Susan Richmond,169,8.24,Yes,Yes,Yes,No,No,Yes,23,Mechanical Engineering,42.09
Mary Ramirez,155,5.63,Yes,No,No,No,No,Yes,20,Computer Science,28.94
Cheryl Bradford,236,3.73,Yes,Yes,Yes,Yes,Yes,No,25,Electrical Engineering,12.13
Daniel Ayala,275,3.1,No,No,No,Yes,Yes,No,24,Electrical Engineering,3.98
Dr. Tyler Buckley,424,7.05,Yes,Yes,No,Yes,Yes,Yes,22,Computer Science,22.1
Monique Green,34,0.51,No,Yes,Yes,Yes,,No,23,Mechanical Engineering,5.63
Brittany Sanchez,55,2.9,No,Yes,No,Yes,No,Yes,20,Computer Science,4.52
Michelle Sullivan,162,6.03,No,No,No,No,Yes,No,22,Mechanical Engineering,25.5
Sally Schaefer,80,8.22,No,Yes,Yes,No,Yes,Yes,21,Computer Science,16.85
Casey Lopez Jr.,119,3.36,No,Yes,No,Yes,Yes,Yes,19,Computer Science,5.47
Dr. Michael Martinez,100,8.96,,Yes,Yes,No,Yes,Yes,25,Mechanical Engineering,29.45
Megan Collins,252,4.34,No,No,No,Yes,No,No,22,Civil Engineering,3.45
Robert Garrison,180,1.37,No,No,No,No,No,Yes,23,Computer Science,4.21
James Turner,353,2.03,No,No,No,Yes,Yes,No,21,Mechanical Engineering,2.92
Crystal Wright,34,2.81,No,Yes,Yes,No,Yes,Yes,23,Electrical Engineering,5.64
Virginia Gilbert,207,8.95,Yes,No,Yes,Yes,No,No,25,Civil Engineering,23.75
Daniel Jenkins,494,3.6,Yes,No,No,Yes,No,No,20,Electrical Engineering,9.83
Brianna Randolph,243,4.9,No,No,Yes,No,No,Yes,20,Computer Science,3.23
Joseph Gregory,407,4.7,Yes,Yes,No,Yes,No,Yes,20,Civil Engineering,12.85
Peter Gonzalez,432,7.91,No,No,No,No,No,Yes,24,Electrical Engineering,22.7
Isaac Hernandez,77,7.3,Yes,Yes,No,No,Yes,Yes,23,Electrical Engineering,24.3
Matthew Bell,304,9.77,No,No,No,No,No,No,22,Mechanical Engineering,20.99
Jocelyn Jenkins,108,3.77,Yes,Yes,Yes,No,No,No,24,Civil Engineering,11.81
Alexis Graham,94,7.49,Yes,Yes,Yes,Yes,Yes,Yes,21,Computer Science,36.17
Michael Hunter,271,1.54,No,No,No,Yes,Yes,No,19,Civil Engineering,3.56
Nicholas Todd,204,5.87,No,Yes,No,Yes,Yes,No,19,Civil Engineering,33.3
Penny Conner,466,4.46,Yes,Yes,No,Yes,No,Yes,23,Mechanical Engineering,12.76
Ashley Frank,291,6.34,No,No,No,Yes,No,Yes,19,Mechanical Engineering,42.28
Amanda Page,380,9.07,Yes,Yes,No,Yes,No,Yes,24,Computer Science,28.07
Amy Cochran,173,9.34,Yes,No,No,Yes,Yes,Yes,25,Mechanical Engineering,25.09
Timothy Bell,79,7.95,No,Yes,Yes,Yes,Yes,No,21,Computer Science,17.55
Samantha Smith,499,7.97,Yes,Yes,No,Yes,Yes,Yes,21,Mechanical Engineering,50.35
Jeffrey Williams,447,7.33,Yes,No,No,Yes,No,Yes,25,Civil Engineering,39.13
Jennifer Ward,248,6.93,Yes,Yes,Yes,No,No,No,22,Electrical Engineering,49.66
Rachel Greene,127,7.16,Yes,No,Yes,Yes,Yes,No,18,Electrical Engineering,23.27
Margaret Brown,377,2.91,Yes,No,No,Yes,No,No,20,Electrical Engineering,10.22
Eric Rivera,102,8.36,Yes,Yes,Yes,No,No,Yes,21,Mechanical Engineering,37.25
Wendy Stewart,276,0.99,No,No,No,No,Yes,No,20,Computer Science,4.29
Diana Carson,406,0.28,Yes,No,Yes,Yes,No,No,18,Mechanical Engineering,10.14
Brittany Mays,413,1.66,No,Yes,Yes,No,Yes,Yes,21,Mechanical Engineering,6.47
Pedro James,20,1.55,Yes,Yes,Yes,No,No,Yes,24,Mechanical Engineering,10.96
Derrick Wolfe,405,2.93,Yes,Yes,Yes,Yes,No,Yes,23,Computer Science,12.37
Carmen Martinez,384,2.84,No,Yes,No,Yes,No,No,23,Mechanical Engineering,5.56
Natasha Williamson,431,7.96,Yes,Yes,No,No,Yes,Yes,20,Electrical Engineering,22.08
Patricia Gomez,375,4.89,No,Yes,Yes,No,Yes,Yes,21,Mechanical Engineering,6.27
Wanda Adams,59,3.3,No,Yes,Yes,Yes,Yes,Yes,22,Civil Engineering,5.37
Douglas Cunningham,111,9.11,Yes,Yes,Yes,Yes,No,Yes,23,Civil Engineering,52.62
Shirley Schneider,198,5.02,Yes,Yes,No,Yes,Yes,No,20,Electrical Engineering,27.85
Stephanie Williams,423,7.13,Yes,Yes,No,No,Yes,No,18,Mechanical Engineering,27.46
Cynthia Carter,163,1.18,No,No,Yes,No,Yes,No,24,Civil Engineering,4.49
Jeffrey Graves,340,3.45,Yes,Yes,Yes,Yes,Yes,No,22,Mechanical Engineering,12.49
Jaime Day,400,5.83,No,Yes,Yes,Yes,No,Yes,22,Electrical Engineering,38.86
Mr. Gary White,25,2.15,Yes,Yes,Yes,No,No,Yes,24,Mechanical Engineering,11.47
Autumn Carlson,42,7.72,Yes,Yes,No,No,No,Yes,20,Mechanical Engineering,25.39
Kevin Watts,133,4.86,No,Yes,Yes,Yes,Yes,No,20,Mechanical Engineering,6.83
Jesse Choi,142,0.77,Yes,No,Yes,Yes,No,Yes,19,Mechanical Engineering,8.75
Joseph Harris,403,7.91,Yes,Yes,Yes,Yes,No,Yes,22,Electrical Engineering,18.97
Lisa Vazquez,63,3.48,Yes,Yes,Yes,Yes,Yes,Yes,22,Computer Science,12.01
Jennifer Martin,184,6.48,No,Yes,No,No,Yes,Yes,22,Computer Science,31.39
Greg Pham,110,6.93,Yes,No,No,No,No,Yes,24,Computer Science,45.35
Roger Torres,292,3.99,No,No,No,Yes,No,Yes,25,Civil Engineering,3.72
Nichole James,421,1.78,Yes,No,Yes,No,Yes,No,20,Mechanical Engineering,9.78
William Meyer,463,0.05,Yes,No,Yes,Yes,No,No,20,Mechanical Engineering,9.07
Sara Monroe,347,7.78,No,Yes,No,No,No,No,20,Civil Engineering,29.93
Anne Fletcher,397,5.55,No,Yes,No,No,No,No,19,Civil Engineering,43.25
William Washington,456,1.88,Yes,Yes,No,No,No,No,18,Mechanical Engineering,12.99
Dana Ruiz,121,1.81,No,Yes,Yes,Yes,Yes,No,18,Civil Engineering,4.87
Gregory Gallegos,204,8.01,Yes,Yes,No,Yes,Yes,Yes,20,Electrical Engineering,40.67
Angela James,463,3.8,No,No,No,Yes,Yes,Yes,22,Electrical Engineering,4.34
Steven Martin,138,7.88,Yes,No,Yes,Yes,Yes,No,18,Computer Science,17.01
Mallory Roberts,128,5.93,No,No,No,No,,No,22,Civil Engineering,19.64
Mark Perez,98,8.39,No,No,No,Yes,Yes,Yes,22,Electrical Engineering,21.33
Melinda Wilson,303,1.43,Yes,No,Yes,No,No,No,23,Mechanical Engineering,10.5
Tammy Brown,122,9.08,No,No,Yes,Yes,No,No,24,Civil Engineering,44.89
Karen Perkins,73,1.24,Yes,Yes,Yes,No,No,No,21,Civil Engineering,10.64
Thomas Jones,439,2.48,No,Yes,Yes,No,Yes,No,18,Civil Engineering,6.7
Mrs. Kaitlyn Watkins MD,409,7.25,No,No,Yes,No,No,Yes,21,Mechanical Engineering,30.76
Mark Jarvis,380,6.73,No,Yes,Yes,No,Yes,Yes,19,Mechanical Engineering,19.83
Nathan Cruz,9,4.4,No,Yes,No,No,No,No,24,Civil Engineering,5.37
Mr. Victor Nguyen,247,6.42,No,Yes,Yes,,No,No,23,Electrical Engineering,22.51
Kristin Sosa,406,4.2,No,No,Yes,Yes,Yes,No,23,Civil Engineering,3.47
Gary Johnson,390,7.71,Yes,No,Yes,No,Yes,No,23,Mechanical Engineering,19.18
Michael Thomas,9,5.25,Yes,Yes,Yes,Yes,No,Yes,25,Computer Science,56.48
Steven Perez,492,4.56,No,Yes,No,No,No,No,19,Electrical Engineering,6.48
Ariana Henderson,98,3.7,No,No,No,Yes,Yes,Yes,21,Computer Science,2.84
James Chapman,269,3.7,No,No,Yes,Yes,Yes,No,19,Civil Engineering,3.3
Robyn King,400,8.51,No,No,Yes,Yes,Yes,No,18,Computer Science,26.15
Julia Parker,420,3.28,Yes,Yes,Yes,Yes,Yes,Yes,19,Civil Engineering,12.29
Emily Wheeler,21,0.33,No,Yes,No,No,Yes,Yes,23,Computer Science,5.77
Kristen Williams,175,1.08,Yes,No,Yes,No,Yes,No,19,Mechanical Engineering,9.54
Nicholas Nelson,328,3.22,Yes,No,No,Yes,No,No,20,Computer Science,8.79
Paula Lindsey,142,4.76,Yes,No,No,No,Yes,Yes,21,Electrical Engineering,8.81
Patricia Montgomery,234,3.48,No,Yes,Yes,No,Yes,Yes,23,Mechanical Engineering,5.86
Evan House,455,6.92,No,No,Yes,No,No,Yes,18,Computer Science,26.82
Erika Olsen,95,0.5,Yes,No,Yes,No,Yes,No,20,Electrical Engineering,10.43
Raymond Young,147,8.76,No,Yes,Yes,Yes,Yes,No,23,Mechanical Engineering,32.14
Donald Black,174,2.58,Yes,Yes,No,No,Yes,No,18,Civil Engineering,10.89
Frank Martin,449,5.01,,No,No,No,Yes,Yes,25,Civil Engineering,36.46
Katrina Carter,291,9.22,No,No,Yes,Yes,Yes,No,24,Electrical Engineering,11.99
Amanda Sanchez,255,5.24,Yes,No,Yes,No,No,No,18,Mechanical Engineering,23.38
Jennifer Kaiser,156,0.35,Yes,No,No,Yes,No,No,18,Electrical Engineering,10.3
Monica Oliver,195,5.4,No,Yes,No,No,No,No,24,Civil Engineering,32.49
Elizabeth Fuller,289,0.49,Yes,No,Yes,No,Yes,Yes,24,Civil Engineering,8.83
Sophia Ferguson,88,5.75,No,No,Yes,No,No,No,24,Civil Engineering,48.45
Jade Gonzalez,213,7.43,Yes,Yes,Yes,Yes,No,Yes,24,Civil Engineering,40.24
Thomas Craig,134,9.94,No,Yes,Yes,No,No,No,18,Civil Engineering,38.9
Kimberly Allison,378,6.38,Yes,Yes,Yes,No,No,No,24,Mechanical Engineering,35.97
Caroline Jones,5,5.14,Yes,Yes,No,Yes,Yes,Yes,19,Civil Engineering,50.19
Jesse Dickerson,74,3.73,No,No,No,No,No,Yes,18,Civil Engineering,3.14
Eric Harris,43,0.92,No,Yes,Yes,No,Yes,Yes,23,Civil Engineering,5.33
Maureen Weaver,125,0.99,Yes,No,No,No,No,No,21,Computer Science,10.19
Valerie Everett,80,2.45,Yes,No,No,Yes,No,No,19,Computer Science,8.57
James Morris,287,0.68,Yes,No,Yes,Yes,No,Yes,19,Civil Engineering,10.62
Robert Baker,195,1.73,No,No,No,No,No,No,25,Computer Science,3
Maria Ramirez,306,5.52,,Yes,Yes,No,Yes,No,20,Mechanical Engineering,21.88
Paula Pacheco,278,5.63,Yes,No,Yes,Yes,Yes,Yes,21,Computer Science,27.89
Rodney Bell,79,9.56,No,Yes,No,Yes,Yes,No,21,Electrical Engineering,48.47
Richard Anderson,315,8.59,No,Yes,Yes,Yes,Yes,Yes,22,Mechanical Engineering,13.49
Lisa Bailey,253,8.68,No,Yes,,No,Yes,No,21,Electrical Engineering,48.56
Christopher Miller,419,2.4,No,Yes,No,No,No,Yes,22,Mechanical Engineering,5.9
Dennis Olson,162,8.82,Yes,Yes,Yes,No,No,No,22,Electrical Engineering,57.38
Neil Berg,326,5.15,Yes,Yes,No,No,Yes,Yes,25,Civil Engineering,29.67
Andre Brown,396,0.54,Yes,No,Yes,No,No,No,21,Civil Engineering,8.92
Derrick Briggs,290,7.73,Yes,No,No,Yes,Yes,No,18,Electrical Engineering,55.88
Charles Decker,236,8.29,No,Yes,Yes,No,No,Yes,24,Electrical Engineering,43.67
Jeremy Hamilton,312,1.25,Yes,Yes,Yes,No,Yes,Yes,25,Computer Science,11.61
Ricardo Parker,390,7.23,Yes,No,Yes,Yes,Yes,Yes,25,Computer Science,45.21
Amanda Silva,91,0.64,No,No,No,Yes,No,Yes,24,Electrical Engineering,3.26
Justin Phillips,241,5.57,No,Yes,Yes,Yes,No,No,24,Mechanical Engineering,17.21
Karen Hebert,376,0.63,Yes,No,Yes,No,No,No,20,Mechanical Engineering,9.05
Linda Allen,368,7.24,Yes,No,Yes,No,No,No,18,Mechanical Engineering,22.11
Gabrielle Williams,76,9.12,Yes,Yes,No,Yes,No,No,25,Mechanical Engineering,42.38
James Greene,21,1.16,,Yes,Yes,Yes,Yes,Yes,20,Computer Science,5.46
Zachary Dunn,311,7.12,Yes,Yes,Yes,Yes,Yes,No,24,Electrical Engineering,56.78
Andrew Hurst,412,5.8,Yes,Yes,No,Yes,No,Yes,21,Computer Science,35.25
Mary Davis,211,6.11,Yes,Yes,Yes,No,No,No,24,Civil Engineering,39.91
Kelly Mejia,4,1.12,Yes,Yes,Yes,No,No,Yes,21,Civil Engineering,12.06
Evan Sanchez,284,9.07,Yes,No,Yes,No,,No,23,Computer Science,13.22
Lauren Oliver,155,4.26,Yes,No,No,No,Yes,Yes,19,Computer Science,10.91
Emily Glass,65,8.4,No,Yes,No,No,Yes,Yes,24,Mechanical Engineering,44.57
Darlene Morgan,270,8.53,No,Yes,No,Yes,Yes,No,18,Civil Engineering,45.73
Amy Fleming,60,1.9,Yes,Yes,No,No,No,Yes,25,Computer Science,12.31
Kendra Ray,465,6.13,No,Yes,No,Yes,Yes,No,24,Electrical Engineering,20.44
Sonya Dunn,353,2.49,No,No,Yes,Yes,No,Yes,23,Civil Engineering,2.94
Todd Washington,103,5.04,No,No,No,Yes,Yes,No,19,Computer Science,45.43
James Ramirez,87,0.32,No,Yes,Yes,Yes,No,Yes,21,Civil Engineering,6.3
Kara Holmes,126,0.83,Yes,No,Yes,No,Yes,No,20,Civil Engineering,10.54
Tracy Le,364,8.53,Yes,Yes,,No,No,Yes,22,Mechanical Engineering,37.09
Aaron Palmer,338,9.78,Yes,No,No,No,No,Yes,18,Mechanical Engineering,40.08
Judy Short,411,8.66,Yes,Yes,No,No,Yes,No,18,Electrical Engineering,19.58
Kenneth Suarez,171,6.65,Yes,Yes,Yes,No,Yes,No,25,Mechanical Engineering,20.47
Terry Jimenez,483,6.87,Yes,Yes,Yes,No,Yes,No,21,Mechanical Engineering,17.58
Danielle Thomas,211,3.75,No,Yes,No,No,Yes,Yes,20,Mechanical Engineering,6.99
Erika Fowler,419,9.75,No,Yes,No,Yes,No,Yes,20,Computer Science,48.65
Jasmine Hernandez,282,5.55,No,Yes,Yes,No,Yes,Yes,24,Civil Engineering,46.59
Regina Smith,71,8.39,Yes,Yes,No,No,No,Yes,23,Computer Science,13.51
Sandra Vasquez,423,8.63,Yes,No,Yes,Yes,Yes,Yes,18,Civil Engineering,29.22
Jasmine Burnett,398,8.64,No,Yes,Yes,No,Yes,Yes,18,Mechanical Engineering,46.83
Catherine Johnson,259,6.83,Yes,No,No,Yes,Yes,No,20,Civil Engineering,38.35
Andres Carter,497,1.47,Yes,No,No,Yes,Yes,No,19,Civil Engineering,8.74
Joseph Davis,364,3.87,No,Yes,Yes,Yes,No,Yes,23,Civil Engineering,6.6
Amy Hernandez,401,7.27,No,Yes,Yes,Yes,Yes,No,23,Computer Science,18.28
Keith Mcdaniel,40,9.73,No,No,Yes,Yes,Yes,No,18,Electrical Engineering,38.55
Cristina Cardenas,419,7.13,No,Yes,Yes,Yes,No,No,22,Civil Engineering,34.73
Alicia Koch,471,5.63,Yes,No,Yes,No,Yes,No,23,Computer Science,28.85
Lisa Gibbs PhD,344,1.41,No,No,No,Yes,No,No,25,Civil Engineering,4.81
Derrick James,376,3.55,No,Yes,No,Yes,No,Yes,19,Electrical Engineering,5.41
Mary Lewis MD,299,4.45,No,No,No,Yes,No,Yes,24,Computer Science,4.33
Albert Mann,236,0.96,Yes,Yes,No,No,No,Yes,20,Civil Engineering,11.79
James Smith,430,7.89,No,No,Yes,Yes,Yes,No,23,Civil Engineering,42.62
John Huber,167,9.47,Yes,No,No,Yes,Yes,Yes,23,Computer Science,31.03
